city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,lagoa,45,PT,1597861265,64,39.05,-27.98,68.29,13.8
88,chapais,90,CA,1597861063,87,49.78,-74.85,53.6,11.41
89,tautira,20,PF,1597861682,69,-17.73,-149.15,78.8,2.24
90,daro,82,GN,1597861683,95,8.52,-9.57,74.57,2.55
91,chokurdakh,100,RU,1597861163,97,70.63,147.92,34.32,8.39
92,nouadhibou,0,MR,1597861160,78,20.93,-17.03,73.4,23.04
93,petropavlovsk-kamchatskiy,90,RU,1597861191,100,53.05,158.65,50.0,13.42
94,baraya,75,CO,1597861686,55,3.15,-75.05,87.8,5.82
95,vredendal,16,ZA,1597861687,69,-31.67,18.5,50.76,10.25
96,gao,48,ML,1597861687,47,16.64,1.64,86.65,11.86
97,bend,1,US,1597861371,29,44.06,-121.32,80.01,0.87
98,caravelas,69,BR,1597861689,74,-17.71,-39.25,77.29,10.98
99,kenai,90,US,1597861208,93,60.55,-151.26,57.0,3.36
100,gasa,0,PS,1597861690,44,31.5,34.47,82.0,7.58
101,kuusamo,85,FI,1597861691,72,65.97,29.18,60.8,5.82
102,melioratorov,90,RU,1597861691,100,57.21,65.61,51.8,8.95
103,biritiba-mirim,20,BR,1597861692,54,-23.57,-46.04,80.6,12.75
104,new norfolk,70,AU,1597861165,91,-42.78,147.06,46.0,1.01
105,phan thiet,99,VN,1597861407,88,10.93,108.1,77.67,7.67
106,skibbereen,90,IE,1597861687,100,51.55,-9.27,62.6,6.93
107,san pedro de macoris,40,DO,1597861471,52,18.46,-69.3,93.2,11.41
108,lompoc,1,US,1597861245,48,34.64,-120.46,82.4,10.29
109,amurzet,80,RU,1597861699,77,47.7,131.1,49.86,6.82
110,houma,40,US,1597861699,46,29.6,-90.72,95.0,4.7
111,nelson bay,40,AU,1597861214,62,-32.72,152.15,55.0,17.22
112,cabo san lucas,90,MX,1597861184,88,22.89,-109.91,78.01,21.92
113,sao filipe,21,CV,1597861165,74,14.9,-24.5,78.98,13.91
114,dwarka,100,IN,1597861209,82,22.24,68.97,83.19,17.6
115,longyearbyen,75,SJ,1597861174,75,78.22,15.64,44.6,3.36
116,novikovo,71,RU,1597861704,70,51.15,37.89,67.46,9.78
117,north battleford,1,CA,1597861455,51,52.78,-108.28,80.6,10.33
118,codrington,86,AU,1597861171,81,-38.27,141.97,46.74,14.65
119,san carlos de bariloche,0,AR,1597861218,41,-41.15,-71.31,39.2,6.93
120,bafia,100,CM,1597861706,92,4.75,11.23,72.99,4.68
121,aklavik,75,CA,1597861190,82,68.22,-135.01,55.4,3.36
122,dakar,40,SN,1597861708,74,14.69,-17.44,86.0,9.17
123,vaini,90,TO,1597861174,100,-21.2,-175.2,75.2,12.75
124,nishihara,20,JP,1597861261,79,26.18,127.76,84.2,6.93
125,ketchikan,1,US,1597861518,87,55.34,-131.65,60.8,3.36
126,bara,82,NG,1597861710,67,10.37,10.73,82.45,5.14
127,namatanai,92,PG,1597861711,84,-3.67,152.43,78.57,5.57
128,kaitangata,67,NZ,1597861169,83,-46.28,169.85,48.99,1.99
129,auki,100,SB,1597861712,80,-8.77,160.7,78.17,3.0
130,kendari,18,ID,1597861703,85,-3.94,122.5,70.05,1.79
131,vardo,72,NO,1597861173,87,70.37,31.11,53.6,16.11
132,carnarvon,96,AU,1597861172,55,-24.87,113.63,62.6,9.17
133,ahipara,24,NZ,1597861717,91,-35.17,173.17,57.15,11.18
134,hithadhoo,73,MV,1597861173,71,-0.6,73.08,83.68,5.28
135,bani,40,DO,1597861718,59,18.28,-70.33,91.99,11.41
136,yuksekova,0,TR,1597861719,77,37.57,44.29,66.2,9.17
137,vostok,96,RU,1597861230,100,46.49,135.88,48.4,2.53
138,robertsport,89,LR,1597861720,86,6.75,-11.37,77.05,16.78
139,san patricio,75,MX,1597861199,74,19.22,-104.7,87.8,11.41
140,kaeo,20,NZ,1597861722,58,-35.1,173.78,55.99,8.99
141,gaur,50,NP,1597861722,74,26.77,85.27,84.52,9.15
142,cockburn town,40,TC,1597861221,66,21.46,-71.14,87.8,13.87
143,harper,98,LR,1597861181,83,4.38,-7.72,76.82,12.57
144,dikson,64,RU,1597861159,69,73.51,80.55,51.71,11.21
145,banda aceh,49,ID,1597861175,77,5.56,95.32,79.86,6.08
146,begoro,40,GH,1597861725,82,6.39,-0.38,74.89,5.08
147,meulaboh,55,ID,1597861225,84,4.14,96.13,78.46,4.76
148,bloomfield,90,US,1597861727,78,40.81,-74.19,73.99,6.93
149,khatanga,7,RU,1597861182,69,71.97,102.5,47.01,14.29
150,mehamn,75,NO,1597861169,63,71.04,27.85,62.6,8.05
151,luderitz,0,NA,1597861249,30,-26.65,15.16,63.39,15.84
152,te anau,59,NZ,1597861240,89,-45.42,167.72,39.6,1.39
153,lebu,0,CL,1597861167,65,-37.62,-73.65,49.05,20.4
154,isangel,2,VU,1597861205,76,-19.55,169.27,66.6,3.29
155,butaritari,8,KI,1597860906,74,3.07,172.79,82.89,7.0
156,ereymentau,27,KZ,1597861732,70,51.62,73.1,53.04,11.5
157,cap malheureux,26,MU,1597861733,65,-19.98,57.61,72.0,3.0
158,muros,100,ES,1597861174,86,42.78,-9.06,69.01,24.0
159,hambantota,93,LK,1597861187,79,6.12,81.12,80.17,16.91
160,saint-philippe,90,RE,1597861187,64,-21.36,55.77,71.01,2.24
161,dodola,71,ET,1597861738,87,6.98,39.18,53.53,2.35
162,isiro,52,CD,1597861738,98,2.77,27.62,69.04,3.22
163,maryborough,0,AU,1597861739,47,-25.53,152.7,56.1,4.45
164,cherrapunji,86,IN,1597861740,100,25.3,91.7,61.97,1.23
165,derzhavinsk,53,KZ,1597861740,51,51.1,66.32,56.3,13.04
166,hobyo,37,SO,1597861741,84,5.35,48.53,77.45,20.96
167,riyadh,70,SA,1597861168,11,24.69,46.72,95.0,8.05
168,san cristobal,40,VE,1597861212,49,7.77,-72.22,91.4,6.93
169,sinnamary,53,GF,1597861704,77,5.38,-52.95,83.16,11.65
170,bengkulu,85,ID,1597861181,86,-3.8,102.27,77.27,4.09
171,kruisfontein,2,ZA,1597861173,85,-34.0,24.73,46.99,5.48
172,santa rosa,100,PH,1597861745,100,14.31,121.11,77.0,2.24
173,warrington,100,GB,1597861746,93,53.39,-2.58,68.0,1.99
174,vila velha,40,BR,1597860987,74,-20.33,-40.29,82.0,20.8
175,scarborough,100,GB,1597861747,93,54.28,-0.4,64.0,5.01
176,necochea,73,AR,1597861261,63,-38.55,-58.74,46.0,10.0
177,yar-sale,9,RU,1597860904,67,66.83,70.83,56.59,15.68
178,jieshi,60,CN,1597861749,85,22.81,115.83,80.85,6.26
179,gat,0,IL,1597861200,45,31.61,34.76,82.0,5.88
180,pingxiang,60,CN,1597861751,84,27.62,113.85,78.3,1.92
181,longyan,45,CN,1597861751,85,25.11,117.02,73.18,0.29
182,almenara,61,BR,1597861752,56,-16.18,-40.69,81.82,5.44
183,jacareacanga,0,BR,1597861755,39,-6.22,-57.75,98.6,8.05
184,vestmannaeyjar,75,IS,1597861723,81,63.44,-20.27,48.2,23.04
185,tura,15,IN,1597861259,89,25.52,90.22,75.06,7.45
186,hamilton,40,US,1597861547,44,39.18,-84.53,80.01,9.17
187,fort nelson,20,CA,1597860956,72,58.81,-122.7,62.6,4.7
188,austin,1,US,1597861502,25,30.27,-97.74,98.6,8.05
189,ullapool,53,GB,1597861760,77,57.9,-5.16,62.01,5.01
190,touros,20,BR,1597861761,65,-5.2,-35.46,82.4,11.41
191,coihaique,49,CL,1597861208,49,-45.58,-72.07,46.4,4.7
192,richards bay,6,ZA,1597861164,67,-28.78,32.04,61.2,10.42
193,zaysan,0,KZ,1597861750,31,47.47,84.87,65.26,8.01
194,margate,100,GB,1597861548,99,51.38,1.39,68.0,7.0
195,aykhal,47,RU,1597861765,93,66.0,111.5,39.2,6.71
196,bataipora,100,BR,1597861765,87,-22.3,-53.27,60.35,13.29
197,buraydah,0,SA,1597861766,15,26.33,43.98,96.8,6.93
198,istok,75,XK,1597861767,77,42.78,20.49,66.99,3.36
199,esperantina,52,BR,1597861767,20,-3.9,-42.23,102.78,2.46
200,alofi,92,NU,1597861193,100,-19.06,-169.92,75.2,8.05
201,mar del plata,75,AR,1597861065,49,-38.0,-57.56,46.4,17.22
202,santa vitoria do palmar,36,BR,1597861770,49,-33.52,-53.37,53.24,14.0
203,kabare,93,CD,1597861770,50,-2.47,28.82,68.7,3.49
204,killybegs,90,IE,1597861771,93,54.63,-8.45,64.4,19.46
205,lazaro cardenas,96,MX,1597861244,70,17.96,-102.2,83.88,5.95
206,hobart,40,AU,1597861688,75,-42.88,147.33,46.0,5.82
207,ponto novo,82,BR,1597861775,32,-10.86,-40.13,86.9,8.25
208,victoria,99,HK,1597861637,91,22.29,114.16,81.0,5.99
209,manaus,40,BR,1597861777,56,-3.1,-60.02,96.8,4.7
210,arraial do cabo,5,BR,1597861221,61,-22.97,-42.03,82.4,13.87
211,qaanaaq,93,GL,1597861189,75,77.48,-69.36,46.96,5.53
212,cayenne,30,GF,1597861194,94,4.93,-52.33,78.8,4.7
213,laguna,20,US,1597861689,24,38.42,-121.42,95.0,3.36
214,palauig,100,PH,1597861781,80,15.44,119.9,79.61,5.21
215,hami,98,CN,1597861647,25,42.8,93.45,85.21,10.51
216,xining,67,CN,1597861253,75,36.62,101.77,54.59,2.68
217,makakilo city,1,US,1597861783,61,21.35,-158.09,80.6,5.82
218,smalininkai,47,LT,1597861784,92,55.07,22.58,65.73,4.65
219,bayangol,97,RU,1597861785,91,50.7,103.47,51.39,1.16
220,yanam,100,IN,1597861786,94,16.73,82.22,75.43,9.37
221,atar,44,MR,1597861678,10,20.52,-13.05,107.73,10.98
222,hofn,20,IS,1597861243,70,64.25,-15.21,48.2,17.22
223,rocha,2,UY,1597861788,56,-34.48,-54.33,49.66,16.91
224,oriximina,74,BR,1597861789,39,-1.77,-55.87,96.22,3.29
225,chokwe,0,MZ,1597861789,64,-24.53,32.98,59.97,6.76
226,barra patuca,63,HN,1597861790,71,15.8,-84.28,85.14,5.66
227,vestmanna,98,FO,1597861744,71,62.16,-7.17,55.4,10.29
228,esperance,40,AU,1597861217,100,-33.87,121.9,48.2,4.7
229,bathsheba,40,BB,1597861253,70,13.22,-59.52,87.8,20.8
230,talara,22,PE,1597861793,64,-4.58,-81.27,71.6,17.22
231,camocim,83,BR,1597861794,45,-2.9,-40.84,90.63,17.36
232,cairns,0,AU,1597861224,100,-16.92,145.77,60.8,1.12
